chr1	-	229652328
chr1	+	94984089
chr1	-	179068461
chr1	-	179068731
chr1	-	179076804
chr1	+	76228495
chr1	+	76229092
chr1	-	1227763
chr1	-	1228273
chr1	-	226332379
chr1	-	180257351
chr1	+	159176282
chr1	+	55075180
chr1	+	55076003
chr1	-	6324331
chr1	-	6324585
chr1	-	147119167
chr1	-	147119281
chr1	-	229566992
chr1	+	236925939
chr1	+	236926314
chr1	+	236927243
chr1	+	236927925
chr1	+	155030969
chr1	+	155031158
chr1	+	155035061
chr1	+	155035248
chr1	-	161159518
chr1	-	161159644
chr1	-	161160053
chr1	-	161160433
chr1	+	150533237
chr1	-	154554533
chr1	-	154554904
chr1	-	32192705
chr1	+	82456546
chr1	+	82456984
chr1	+	82458422
chr1	-	79355448
chr1	-	202909952
chr1	-	202910078
chr1	-	202910454
chr1	+	203136242
chr1	+	203136356
chr1	+	203136531
chr1	-	112042050
chr1	+	36559523
chr1	-	244571793
chr1	+	100388945
chr1	-	15898193
chr1	+	36385401
chr1	+	36385622
chr1	+	36389865
chr1	+	36522063
chr1	+	36322907
chr1	+	990642
chr1	+	990981
chr1	+	991284
chr1	+	991498
chr1	-	230838271
chr1	-	230838569
chr1	-	230838672
chr1	-	230838872
chr1	+	11810461
chr1	+	11810828
chr1	-	247002399
chr1	+	110566357
chr1	-	27860755
chr1	-	222841354
chr1	-	222841553
chr1	-	222842332
chr1	-	222842533
chr1	-	222843017
chr1	+	4843608
chr1	-	33473540
chr1	-	33474728
chr1	-	33475227
chr1	-	33475690
chr1	-	33476261
chr1	+	65697218
chr1	+	78024839
chr1	+	78024987
chr1	+	78025580
chr1	+	39469812
chr1	+	39470733
chr1	+	39471601
chr1	+	46035712
chr1	-	19629201
chr1	-	19630468
chr1	-	19609056
chr1	-	19609179
chr1	-	243651534
chr1	-	243652315
chr1	-	243665581
chr1	-	243665695
chr1	-	243667766
chr1	-	243667966
chr1	-	243668378
chr1	-	19197923
chr1	-	19198281
chr1	-	19199072
chr1	-	165631448
chr1	-	95448278
chr1	+	63903159
chr1	+	21904896
chr1	-	110602996
chr1	-	110049445
chr1	-	110049752
chr1	-	110049883
chr1	+	110173843
chr1	+	110174425
chr1	+	110174526
chr1	+	110174677
chr1	-	213165523
chr1	+	11255679
chr1	+	11256035
chr1	-	70724684
chr1	+	145474917
chr1	+	145475279
chr1	+	145475646
chr1	+	145568526
chr1	-	173577474
chr1	-	1353799
chr1	-	1354235
chr1	-	1354412
chr1	-	1354724
chr1	-	150190716
chr1	-	150190824
chr1	-	150195512
chr1	+	150968113
chr1	-	114436816
chr1	-	150237798
chr1	-	150237948
chr1	-	150238531
chr1	+	10511532
chr1	+	10511711
chr1	+	10511896
chr1	-	161192082
chr1	-	183615410
chr1	+	228285868
chr1	+	228286688
chr1	+	228286913
chr1	-	94634462
chr1	-	94634817
chr1	-	94634981
chr1	-	94637677
chr1	-	161016731
chr1	+	18023991
chr1	+	18024257
chr1	+	18024363
chr1	-	156904631
chr1	+	3397348
chr1	+	3397676
chr1	-	16524348
chr1	-	155916629
chr1	-	155917193
chr1	+	27107509
chr1	+	27108332
chr1	+	27108600
chr1	-	235330209
chr1	-	202102531
chr1	-	202102720
chr1	-	202103585
chr1	-	150782180
chr1	-	150783125
chr1	-	183595327
chr1	-	183596572
chr1	+	44402909
chr1	+	231135907
chr1	+	231136276
chr1	-	23755055
chr1	-	201083080
chr1	-	155305051
chr1	-	176826440
chr1	-	176830199
chr1	-	176830401
chr1	-	176837953
chr1	+	1470066
chr1	+	1431582
chr1	+	1404013
chr1	+	1404184
chr1	+	1405538
chr1	+	212792983
chr1	+	212794012
chr1	+	161928479
chr1	+	161933088
chr1	+	63330940
chr1	-	17312452
chr1	-	17312584
chr1	+	116947394
chr1	+	160111341
chr1	+	160111982
chr1	+	160112152
chr1	+	160112343
chr1	+	160113359
chr1	+	169101679
chr1	+	169101960
chr1	+	203709145
chr1	+	203712678
chr1	+	203712957
chr1	+	203713209
chr1	+	112003629
chr1	+	112003878
chr1	+	112004420
chr1	+	44443963
chr1	+	154310322
chr1	+	154321862
chr1	+	154322423
chr1	+	154323541
chr1	-	47100710
chr1	-	47100835
chr1	-	47101108
chr1	-	47101369
chr1	+	28564615
chr1	+	110035298
chr1	-	26158403
chr1	-	26160496
chr1	-	1309109
chr1	+	33586131
chr1	-	235610504
chr1	-	235610711
chr1	-	235611109
chr1	-	235628212
chr1	-	193147859
chr1	-	193148198
chr1	+	1169068
chr1	+	1170418
chr1	+	44456221
chr1	+	44456709
chr1	+	44456839
chr1	-	161141099
chr1	-	91177578
chr1	-	91177762
chr1	-	212859758
chr1	+	156623264
chr1	+	156629001
chr1	+	156629322
chr1	-	94027297
chr1	-	115110180
chr1	-	115110683
chr1	-	114419435
chr1	+	147096893
chr1	+	147097940
chr1	-	49193194
chr1	-	45249256
chr1	-	45249594
